FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-01-01 00:00:00,157660725.83,157600011.08329707,157023979.92395282,158176042.24264133,0,0,,
2019-01-02 00:00:00,110234830.69999996,110295624.34463018,109718844.64120093,110872404.04805943,0,0,,
2019-01-03 00:00:00,432224.75,493097.29255749634,'-84430.95495674957,1070625.5400717421,0,0,,
2019-01-04 00:00:00,980194.05,918974.6094788674,338155.16753462143,1499794.0514231133,0,0,,
2019-01-05 00:00:00,179502.99,240375.5325574963,'-337152.7149567496,817903.7800717423,0,0,,
2019-01-06 00:00:00,4823.17,0,'-580819.441944246,580819.441944246,0,0,,
2019-01-07 00:00:00,1376983.9300000004,1437856.4725574967,860328.2250432508,2015384.7200717428,0,0,,
2019-01-08 00:00:00,792153.9800000001,852947.6246302237,276167.92120097764,1429727.3280594698,0,0,,
2019-01-09 00:00:00,1067524.66,1006652.1174425036,429123.86992825766,1584180.3649567496,0,0,,
2019-01-10 00:00:00,381234.83999999997,442454.28052113263,'-138365.1614231133,1023273.7224653786,0,0,,
2019-01-11 00:00:00,3477867.5599999987,3416301.2215152294,2832190.5851409836,4000411.8578894753,0,0,,
2019-01-12 00:00:00,3858.38,0,'-595986.5472242461,595986.5472242461,0,0,,
2019-01-14 00:00:00,1530758.32,1594828.144302951,986965.6862287048,2202690.6023771972,0,0,,
2019-01-15 00:00:00,1870911.2399999986,1808093.1586061385,1212106.6113818926,2404079.7058303845,0,0,,
2019-01-16 00:00:00,582297.33,617507.3075171654,33396.671142919455,1201617.9438914114,0,0,,
2019-01-17 00:00:00,821577.0099999999,884395.0913938598,288408.54416961374,1480381.638618106,0,0,,
2019-01-18 00:00:00,3620233.230000001,3556163.40569705,2948300.947622804,4164025.863771296,0,0,,
2019-01-19 00:00:00,277453.46,340271.54139386,'-255715.00583038607,936258.0886181061,0,0,,
2019-01-20 00:00:00,75,61641.33848476906,'-522469.29788947693,645751.9748590151,0,0,,
2019-01-21 00:00:00,3377567.7800000017,3316340.763551596,2735449.4449973498,3897232.0821058424,0,0,,
2019-01-22 00:00:00,1535263.54,1596151.2344120417,1018479.2336777957,2173823.235146288,0,0,,
2019-01-23 00:00:00,811325.3100000002,750445.1915152312,172845.0673909851,1328045.3156394772,0,0,,
2019-01-24 00:00:00,3443087.220000001,3382199.525587959,2804527.5248537133,3959871.526322205,0,0,,
2019-01-25 00:00:00,464682.74999999994,525562.868484769,'-52037.25563947705,1103162.9926090152,0,0,,
2019-01-26 00:00:00,149643.04,88770.49744250369,'-488757.7500717422,666298.7449567496,0,0,,
2019-01-28 00:00:00,1384216.2399999995,1445096.3584847685,867496.2343605225,2022696.4826090145,0,0,,
2019-01-29 00:00:00,1312537.2200000002,1373409.7625574965,795881.5150432506,1950938.0100717423,0,0,,
2019-01-30 00:00:00,2680253.9100000006,2619373.7915152316,2041773.6673909854,3196973.915639478,0,0,,
2019-01-31 00:00:00,14675921.469999997,14736809.164412038,14159137.163677793,15314481.165146284,0,0,,
2019-02-01 00:00:00,9949277.660000004,10010504.676448409,9429613.357894162,10591395.995002655,0,0,,
2019-02-02 00:00:00,3104.05,0,'-577672.000734246,577672.000734246,0,0,,
2019-02-04 00:00:00,1416015.2199999997,1477242.236448405,896350.917894159,2058133.5550026512,0,0,,
2019-02-05 00:00:00,76459592.51,57093506.409897305,56515834.40916306,57671178.41063155,0.6210326917,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-02-06 00:00:00,728989.0400000003,789869.1584847693,212269.03436052322,1367469.2826090152,0,0,,
2019-02-07 00:00:00,2593047.7199999993,2532175.177442503,1954646.9299282571,3109703.424956749,0,0,,
2019-02-08 00:00:00,1358454.0100000002,1419334.1284847693,841734.0043605232,1996934.2526090154,0,0,,
