FIS TARIHI,Bakiye,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-01-01 00:00:00,15360020524,15352530209,15303609086,15401451331,0,0,,
2019-01-02 00:00:00,17081150710,17073644343,17024618386,17122670301,0,0,,
2019-01-03 00:00:00,45425443,52947861,3817069,102078653,0,0,,
2019-01-04 00:00:00,29322792,21680898,'-28230220,71592017,0,0,,
2019-01-05 00:00:00,28851222,36373640,'-12757152,85504432,0,0,,
2019-01-06 00:00:00,964634,0,'-49911119,49911119,0,0,,
2019-01-07 00:00:00,218259503,210737085,161606293,259867877,0,0,,
2019-01-08 00:00:00,114184519,121690886,72664928,170716843,0,0,,
2019-01-09 00:00:00,102342800,94820382,45689590,143951174,0,0,,
2019-01-10 00:00:00,43618908,51260802,1349683,101171920,0,0,,
2019-01-11 00:00:00,467420290,459897872,410767080,509028664,0,0,,
2019-01-12 00:00:00,262708,0,'-49911119,49911119,0,0,,
2019-01-14 00:00:00,174740675,182502045,131810599,233193490,0,0,,
2019-01-15 00:00:00,219109116,211467222,161556104,261378341,0,0,,
2019-01-16 00:00:00,57284970,49762552,631760,98893344,0,0,,
2019-01-17 00:00:00,61249157,68891051,18979932,118802169,0,0,,
2019-01-18 00:00:00,610091094,602329724,551638279,653021170,0,0,,
2019-01-19 00:00:00,45376114,53018008,3106889,102929126,0,0,,
2019-01-20 00:00:00,1500,0,'-49130792,49130792,0,0,,
2019-01-21 00:00:00,507122845,499616478,450590521,548642436,0,0,,
2019-01-22 00:00:00,82233644,89723959,40802837,138645082,0,0,,
2019-01-23 00:00:00,78704040,71353702,23346804,119360600,0,0,,
2019-01-24 00:00:00,468857568,476347883,427426761,525269006,0,0,,
2019-01-25 00:00:00,56527041,63877379,15870481,111884277,0,0,,
2019-01-26 00:00:00,14737778,7527417,'-39565257,54620090,0,0,,
2019-01-28 00:00:00,189043262,196393600,148386702,244400498,0,0,,
2019-01-29 00:00:00,110958982,103748621,56655947,150841294,0,0,,
2019-01-30 00:00:00,421792380,429142718,381135820,477149616,0,0,,
2019-01-31 00:00:00,2567568431,2560078116,2511156993,2608999238,0,0,,
2019-02-01 00:00:00,1589779576,1597285943,1548259985,1646311900,0,0,,
2019-02-02 00:00:00,620450,0,'-48921123,48921123,0,0,,
2019-02-04 00:00:00,187571897,195078264,146052306,244104221,0,0,,
2019-02-05 00:00:00,1897403596,1889913281,1840992158,1938834403,0,0,,
2019-02-06 00:00:00,128072434,135422772,87415874,183429670,0,0,,
2019-02-07 00:00:00,289645035,282434674,235342000,329527347,0,0,,
2019-02-08 00:00:00,212749235,220099573,172092675,268106471,0,0,,
2019-02-09 00:00:00,2127480,9617795,'-39303327,58538918,0,0,,
2019-02-11 00:00:00,199995213,192644875,144637977,240651773,0,0,,
2019-02-12 00:00:00,87721769,95212084,46290962,144133207,0,0,,
2019-02-13 00:00:00,405047865,397697527,349690629,445704425,0,0,,
2019-02-14 00:00:00,394151766,392302138,343381015,441223260,0,0,,
2019-02-15 00:00:00,283743920,291094258,243087360,339101156,0,0,,
2019-02-16 00:00:00,2581078,0,'-48921123,48921123,0,0,,
2019-02-18 00:00:00,203877423,196527085,148520187,244533983,0,0,,
2019-02-19 00:00:00,109235736,116726051,67804929,165647174,0,0,,
2019-02-20 00:00:00,251433927,244083589,196076691,292090487,0,0,,
2019-02-21 00:00:00,292785295,300275610,251354488,349196733,0,0,,
2019-02-22 00:00:00,89530645,82180307,34173409,130187205,0,0,,
2019-02-23 00:00:00,451312,0,'-47092673,47092673,0,0,,
2019-02-25 00:00:00,474556138,481906476,433899578,529913374,0,0,,
2019-02-26 00:00:00,391995791,384785430,337692756,431878103,0,0,,
2019-02-27 00:00:00,310773296,318123634,270116736,366130532,0,0,,
2019-02-28 00:00:00,2865842034,2858351719,2809430596,2907272841,0,0,,
2019-03-01 00:00:00,1767597536,1775103903,1726077945,1824129860,0,0,,
2019-03-02 00:00:00,306850,7797165,'-41123957,56718288,0,0,,
2019-03-04 00:00:00,355939130,348728769,301636095,395821442,0,0,,
2019-03-05 00:00:00,260093817,267304178,220211505,314396852,0,0,,
2019-03-06 00:00:00,252398092,244907777,195986654,293828899,0,0,,
2019-03-07 00:00:00,22437873,29960291,'-19170501,79091083,0,0,,
2019-03-08 00:00:00,449536401,441775031,391083586,492466477,0,0,,
2019-03-09 00:00:00,934626,8748940,'-42288297,59786177,0,0,,
2019-03-10 00:00:00,18121948,10360578,'-40330867,61052024,0,0,,
2019-03-11 00:00:00,362254792,370016162,319324716,420707607,0,0,,
2019-03-12 00:00:00,212568260,220382574,169345337,271419811,0,0,,
2019-03-13 00:00:00,80190413,72376099,21338862,123413336,0,0,,
2019-03-14 00:00:00,299164208,306925578,256234132,357617023,0,0,,
2019-03-15 00:00:00,258332982,250518668,199481431,301555905,0,0,,
2019-03-16 00:00:00,2441550,0,'-51037237,51037237,0,0,,
