Run ID,Name,Source Type,Source Name,User,Status,CPU Jobs,Categorical Features,Categorical Imputer,Clustering,Clustering Iteration,Combine Rare Levels,Experiment Name,Feature Interaction,Feature Ratio,Feature Selection,Features Selection Threshold,Group Features,High Cardinality Features,High Cardinality Method,Ignore Low Variance,Imputation Type,Interaction Threshold,Iterative Imputation Categorical Model,Iterative Imputation Iteration,Iterative Imputation Numeric Model,Log Experiment,Missing Values,Multicollinearity Threshold,Normalize,Normalize Method,Numeric Binning,Numeric Features,Numeric Imputer,Ordinal Features,Original Data,Outliers Threshold,PCA,PCA Components,PCA Method,Polynomial Degree,Polynomial Features,Polynomial Threshold,Rare Level Threshold,Remove Multicollinearity,Remove Outliers,Transformation,Transformation Method,Transformed Data,Trignometry Features,USI,Unknown Categoricals Handling,Use GPU,algorithm,alpha,behaviour,beta,bootstrap,cache_size,check_estimator,clustering_estimator,coef0,contamination,copy,degree,gamma,iterated_power,kernel,leaf_size,max_features,max_iter,max_samples,method,metric,metric_params,n_bins,n_clusters,n_components,n_estimators,n_jobs,n_neighbors,n_selected_components,nu,p,p1,radius,random_state,session_id,shrinking,standardization,svd_solver,tol,use_weights,verbose,weighted,whiten,TT,m1
ebf123ed92a64001bc8ac271460094db,MLflow on Colab,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mlflow-colab,,,,,,,,,,,,,2
7ed3e8b4e13b4607b0e9174f6aa8b079,Principal Component Analysis,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,True,,,auto,,,,,,,,,,,None,,,,None,,,,,3216,,,True,auto,0.0,,,True,False,0.07,
835bf3bd5f59411fb068f43f724a47b2,One-class SVM detector,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,0.0,0.05,,3,auto,,rbf,,,-1,,,,,,,,,,,,0.5,,,,,,True,,,0.001,,False,,,531.92,
b4807e10b2c44e0289ffeae9d798b68e,Local Outlier Factor,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,,,,,,,,,0.05,,,,,,30,,,,,minkowski,None,,,,,-1,20,,,2,,,,,,,,,,,,,4.34,
b351aa58695d428085e94c7ad30a11f9,Histogram-based Outlier Detection,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.05,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,0.5,,,,,1.33,
042afc2bbbe144fc9f19aff7d6e29c1b,Clustering-Based Local Outlier,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,5,,,False,None,,0.05,,,,,,,,,,,,,,8,,,-1,,,,,,,3216,,,,,,False,,,,2.63,
eb7d27cd36374d2c8f874df7d4f9715d,Isolation Forest,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,,False,,,,,0.05,,,,,,,1.0,,auto,,,,,,,100,-1,,,,,,,3216,,,,,,,0,,,6.55,
d0c7f19608dc422b972aaddf2642e299,Angle-base Outlier Detection,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,fast,,,,,,,,5,,,,,,,,,,,,,,,,22.08,
bf2f737af3f149d79f9f465b69357c73,K-Nearest Neighbors Detector,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto,,,,,,,,,0.05,,,,,,30,,,,largest,minkowski,None,,,,,-1,5,,,2,,1.0,,,,,,,,,,,4.15,
df8ec6c4ebf548ca9ee4e13f01d2b5b6,Session Initialized 75ba,LOCAL,/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py,root,FINISHED,-1,0,mode,False,None,False,anomaly-default-name,False,False,False,None,False,False,None,False,simple,None,None,None,None,True,False,None,True,robust,False,2,mean,False,"(105004, 2)",None,False,None,None,None,False,None,None,False,False,False,None,"(105004, 2)",False,75ba,least_frequent,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3216,,,,,,,,,,
